epoch,train_loss,val_loss,train_error1,val_error1,train_error5,val_error5,val_quant_error1,val_quant_error5
25,2.5501629902648926,2.724159897994995,65.394,67.84,34.581999999999994,37.88,68.1,37.95
26,2.5096801483917237,2.644241661453247,64.76400000000001,66.47999999999999,33.706,36.52,66.66,36.93
27,2.458188209838867,2.5821813133239746,63.804,64.75999999999999,32.614000000000004,34.58,64.99000000000001,34.730000000000004
28,2.4121077893829344,2.751597442626953,62.43,67.77000000000001,31.560000000000002,37.56,67.92,37.73
29,2.366873792190552,2.965795960235596,61.504,67.52000000000001,30.477999999999994,35.69,69.37,38.56
30,2.322253537597656,2.4744597972869875,60.676,63.3,29.622,32.709999999999994,63.23,32.730000000000004
31,2.278695668258667,2.4991154991149904,59.872,64.17,28.668000000000006,32.870000000000005,64.22,33.16
32,2.23012452041626,2.689531884765625,58.986,64.75999999999999,27.617999999999995,34.3,63.48,32.3
33,2.1992134426116943,2.733637955093384,58.252,63.99,26.831999999999994,32.620000000000005,63.92,33.22
34,2.154388175125122,2.374592724609375,57.354,61.41,26.123999999999995,30.799999999999997,60.53,30.090000000000003
35,2.1153863375091553,2.295512441253662,56.154,59.08,25.325999999999993,28.739999999999995,59.39,29.189999999999998
36,2.0666237879943847,2.3306101753234865,55.238,60.45,24.182000000000002,29.28,60.52,29.75
37,2.035791752166748,2.846697229766846,54.448,63.59,23.596000000000004,32.760000000000005,64.53,33.730000000000004
38,2.0006935202026366,2.2716679447174073,53.772,58.82,22.799999999999997,28.61,58.84,28.799999999999997
39,1.9564454865264893,2.8800091480255126,52.544,61.85,22.263999999999996,30.810000000000002,61.3,30.590000000000003
40,1.9238384829711914,2.2648283031463623,51.992,58.9,21.518,27.739999999999995,59.39,28.14
41,1.8955361555480956,2.302659223175049,51.378,58.71,21.019999999999996,28.14,58.09,27.599999999999994
42,1.8500371590423583,2.413530840301514,50.252,59.64,20.028000000000006,30.239999999999995,60.14,31.47
43,1.818560238609314,2.141431118392944,49.65,55.95,19.622,25.430000000000007,56.45,25.349999999999994
44,1.7865932332611083,2.598502992248535,48.994,58.18,19.275999999999996,27.840000000000003,57.93,27.870000000000005
45,1.7582062448501588,2.5621599617004396,48.12,58.67,18.560000000000002,27.659999999999997,58.71,27.17
46,1.7276843112182618,2.1219360055923464,47.484,54.34,17.944000000000003,24.810000000000002,55.05,25.480000000000004
47,1.6907135384750367,2.076465867614746,46.81,54.87,17.519999999999996,24.439999999999998,54.93,24.590000000000003
48,1.661420798149109,2.084287247848511,46.138,53.11,16.828000000000003,23.200000000000003,52.6,22.739999999999995
49,1.6361924879455567,2.4293949649810793,45.524,54.97,16.433999999999997,24.900000000000006,54.71,24.930000000000007
50,1.6157815699386597,2.1993225091934203,45.152,56.73,15.963999999999999,26.959999999999994,56.73,27.269999999999996
51,1.6727406639862061,1.859224013710022,45.108,50.08,16.224000000000004,20.53,50.1,20.67
52,1.6177769416809082,1.902734892654419,44.336,49.52,15.674000000000007,20.590000000000003,49.45,20.53
53,1.591691750125885,1.8844289039611817,43.556,48.81,15.341999999999999,19.930000000000007,49.03,19.909999999999997
54,1.5720588396835327,1.8522524255752564,43.606,49.23,14.914000000000001,20.230000000000004,49.33,20.159999999999997
55,1.552865133934021,1.8296208324432373,43.166,49.42,14.768,20.090000000000003,49.63,20.180000000000007
56,1.533489068260193,1.8205744493484497,42.972,48.43,14.489999999999995,19.129999999999995,48.66,19.379999999999995
57,1.5192605226516724,1.8085196542739868,42.416,47.46,14.358000000000004,19.25,47.52,18.930000000000007
58,1.5048677995300292,1.8098706832885743,42.228,48.37,14.030000000000001,19.980000000000004,48.81,20.310000000000002
59,1.4927223069000244,1.8333659658432007,41.558,48.16,13.921999999999997,19.730000000000004,48.37,19.790000000000006
60,1.4830373358535767,1.8159397663116454,41.496,48.32,13.724000000000004,19.5,48.56,19.810000000000002
61,1.4639446306610107,1.8186154327392579,41.036,48.25,13.578000000000003,19.480000000000004,48.43,19.53
62,1.4614039331817628,1.8252092416763306,41.094,47.92,13.453999999999994,19.010000000000005,48.22,19.5
63,1.4341182891082764,1.8446176836013795,40.46,47.93,13.078000000000003,19.370000000000005,48.16,19.480000000000004
64,1.427844150466919,1.8077479816436768,40.532,48.05,13.058000000000007,19.790000000000006,48.29,19.83
65,1.4091730130386353,1.7686809350967407,39.902,47.15,12.555999999999997,19.379999999999995,47.41,19.180000000000007
66,1.390351948928833,1.8304454010009765,39.488,47.78,12.337999999999994,19.08,47.63,19.189999999999998
67,1.3846679154968262,1.808832604598999,39.378,47.71,12.492000000000004,19.129999999999995,47.54,18.959999999999994
68,1.3742795301246644,1.7622903112411499,39.126,47.13,12.290000000000006,18.89,47.31,18.569999999999993
69,1.3621529127120973,1.7616234924316405,38.872,47.46,12.046000000000006,18.97,47.68,19.159999999999997
70,1.3579468685531617,1.800071723175049,38.892,47.51,11.894000000000005,19.099999999999994,47.42,18.92
71,1.349624168281555,1.7962720932006835,38.648,47.13,11.849999999999994,18.86,47.62,19.430000000000007
72,1.3471186148452758,1.7369381408691407,38.516,46.75,11.689999999999998,18.230000000000004,46.78,18.409999999999997
73,1.3284912829589843,1.8118770837783813,37.99,47.57,11.507999999999996,18.620000000000005,47.82,19.150000000000006
74,1.3193041485214234,1.7876538093566894,37.764,47.1,11.438000000000002,18.569999999999993,47.0,18.680000000000007
75,1.3141245288467407,1.734108889579773,37.682,46.62,11.488,18.22,46.52,18.049999999999997
76,1.2858122411346435,1.7604454523086548,36.872,46.77,10.938000000000002,18.58,46.97,18.700000000000003
77,1.2860249028778077,1.8576365659713745,37.116,47.78,10.878,18.659999999999997,47.67,18.939999999999998
78,1.281793931350708,1.7588899248123169,37.01,46.65,10.846000000000004,18.58,47.03,18.840000000000003
79,1.260201823577881,1.7491807737350464,36.514,46.43,10.462000000000003,18.11,46.0,18.620000000000005
80,1.2343702306365967,1.7270137098312377,35.81399999999999,45.38,10.207999999999998,17.92,45.93,17.909999999999997
81,1.2368197213745118,1.7488608409881592,35.709999999999994,45.8,10.376000000000005,18.25,46.08,18.010000000000005
82,1.2324392294311524,1.7328594863891602,35.446,45.92,10.232,17.900000000000006,46.4,17.97
83,1.2199546057510375,1.7629650793075562,35.482,46.45,10.060000000000002,18.430000000000007,46.69,18.370000000000005
84,1.2454094301223755,1.7356127542495727,36.038,45.57,10.275999999999996,17.730000000000004,44.94,17.549999999999997
85,1.233291927318573,1.734257139968872,35.894000000000005,45.51,10.128,17.58,45.25,17.64
86,1.2439784626770019,1.7954501916885377,36.042,47.33,10.221999999999994,18.510000000000005,47.29,18.61
87,1.2206638202285767,1.7733670003890991,35.506,47.74,9.921999999999997,18.909999999999997,48.21,19.019999999999996
88,1.2205625540924072,1.8230129390716552,35.540000000000006,48.22,10.025999999999996,19.67,48.5,19.689999999999998
89,1.2220474569702149,1.7536375268936157,35.391999999999996,46.15,9.994,18.049999999999997,46.89,18.14
90,1.2051931478118896,1.7699253326416016,34.962,46.05,9.908000000000001,18.400000000000006,46.17,18.459999999999994
91,1.2078431075668334,1.745041054725647,35.245999999999995,46.48,9.924000000000007,18.39,46.55,18.260000000000005
92,1.1924101214790344,1.7608537448883057,34.622,45.55,9.552000000000007,17.840000000000003,45.48,17.900000000000006
93,1.1833041831970215,1.740805555534363,34.444,45.35,9.384,17.730000000000004,45.35,17.599999999999994
94,1.1884301334381104,1.7130492933273316,34.730000000000004,44.88,9.397999999999996,17.47,45.1,17.519999999999996
95,1.190445239753723,1.786772884750366,34.891999999999996,46.18,9.537999999999997,17.86,46.09,17.75
96,1.1796328540802001,1.7590639781951904,34.41,45.26,9.563999999999993,17.86,45.82,17.730000000000004
97,1.1767198574066162,1.7660478889465332,34.456,46.44,9.420000000000002,17.909999999999997,46.71,18.28
98,1.159452495918274,1.7359632984161377,33.998000000000005,45.59,9.091999999999999,18.159999999999997,45.8,17.83
99,1.1838177656364441,1.757592479324341,34.769999999999996,45.38,9.322000000000003,17.939999999999998,45.9,17.879999999999995
100,1.1617409324645995,1.7523334356307982,33.94,47.42,8.872,18.620000000000005,47.38,18.689999999999998
101,1.0170717198181152,1.6955662212371827,30.317999999999998,44.42,7.376000000000005,16.47,44.33,17.060000000000002
102,1.0014586848068237,1.710335820388794,29.756,43.99,7.188000000000002,16.92,44.1,17.019999999999996
103,0.997013055896759,1.6980259998321534,29.798000000000002,44.45,7.135999999999996,16.680000000000007,44.58,17.150000000000006
104,0.9895704614639282,1.6999623191833495,29.726,44.01,6.866,16.439999999999998,43.85,16.89
105,0.9970498674964905,1.7069621166229247,29.691999999999993,43.91,7.150000000000006,17.010000000000005,44.47,16.83
106,0.9904223781585694,1.7046878871917726,29.519999999999996,43.66,7.016000000000005,16.879999999999995,44.0,16.900000000000006
107,0.9868552560806274,1.7352075971603393,29.33,43.53,7.043999999999997,17.03,44.19,16.810000000000002
108,0.9812220324707032,1.7019009002685548,29.311999999999998,43.75,6.888000000000005,16.379999999999995,43.87,16.260000000000005
109,0.9830732216644287,1.7190866390228272,29.354,44.43,6.932000000000002,16.92,44.91,17.019999999999996
110,0.9759735207366943,1.7209578216552734,29.439999999999998,44.28,6.778000000000006,16.799999999999997,44.3,17.010000000000005
111,0.9801029534912109,1.7246009716033937,29.396,44.26,6.744,16.480000000000004,44.04,16.650000000000006
112,0.9771402680206299,1.72254065284729,29.244,43.99,6.846000000000004,16.810000000000002,44.57,17.060000000000002
113,0.9697546937561036,1.7047593334198,29.028000000000006,44.41,6.686000000000007,16.83,44.79,17.17
114,0.96840346824646,1.733086689186096,28.908,43.95,6.774000000000001,16.75,44.49,17.049999999999997
115,0.9769362342071534,1.7228467651367187,29.268,43.92,6.778000000000006,16.86,44.23,16.89
116,0.9713786832809448,1.780642014694214,29.189999999999998,44.44,6.569999999999993,17.239999999999995,44.65,17.14
117,0.9688074742889404,1.7279978923797608,28.798000000000002,43.48,6.774000000000001,16.83,44.01,16.739999999999995
118,0.9612724223518372,1.7268342412948607,28.958,44.02,6.506,17.0,44.48,16.819999999999993
